item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10534778,开元口口香米粉,3.0,0.0,6.8,6.4,6.8,1 条点评,火锅 , 塘汛 塘汛南街239号,104.7237420774489,31.49555542709224
10534784,纳奇比萨西餐厅,3.0,0.0,6.4,6.4,6.4,1 条点评,西餐 , 南湖 六一堂路669号,104.7237420774489,31.49555542709224
10534797,本味轩乡村家宴坊,3.0,0.0,6.8,6.3,6.8,1 条点评,东北菜 , 南湖 六一堂路610-2号,104.7237420774489,31.49555542709224
10534897,金手指纯清油小火锅,3.0,0.0,7.2,7.2,7.2,1 条点评,火锅 , 凯德广场 涪华路11号,104.7237420774489,31.49555542709224
10534919,兄弟连烧烤庄,3.0,0.0,7.3,6.6,7.3,1 条点评,烧烤 , 安昌路 安昌西路40号,104.7237420774489,31.49555542709224
10534952,雨露缘柴火鸡,4.0,0.0,8.2,7.9,8.2,14 条点评,火锅 , 江油市中心城区 诗城路青少年宫对面小巷内150米处,104.7237420774489,31.49555542709224
10534971,醋水芙蓉饮吧,3.0,0.0,7.3,7.3,7.3,1 条点评,咖啡厅 , 芙蓉汉城 芙蓉汉城16-2号,104.7237420774489,31.49555542709224
10534984,洺如意滋味馆,3.0,0.0,7.7,7.2,7.7,1 条点评,咖啡厅 , 圣水 花园星河湾底商,104.7237420774489,31.49555542709224
10534992,三正尚岛,3.0,0.0,7.2,7.6,7.6,1 条点评,咖啡厅 , 小岛 高水中街3号,104.7237420774489,31.49555542709224
10534999,海阔天空茶楼,3.0,0.0,7.3,7.3,7.3,1 条点评,茶馆 , 开元场 滨江东路南段11-1号,104.7237420774489,31.49555542709224
10535000,蒋干鍋北川总店,3.0,0.0,7.0,6.6,7.0,2 条点评,川菜 , 永昌镇 安州大道西段,104.7237420774489,31.49555542709224
10535010,江南小屋,3.0,0.0,7.3,7.3,7.3,1 条点评,咖啡厅 , 人民公园 安昌路18号,104.7237420774489,31.49555542709224
10535094,爱侬音乐茶居,3.0,0.0,7.1,7.2,7.3,2 条点评,茶馆 , 五一广场 跃进路北段34号,104.7237420774489,31.49555542709224
10535161,福缘休闲会所,3.0,0.0,6.8,6.8,6.8,1 条点评,咖啡厅 , 六里村 中经路38-4号,104.7237420774489,31.49555542709224
10535175,巧克力咖啡馆,3.0,0.0,7.2,7.3,7.3,11 条点评,咖啡厅 , 步行街 翠花街2-12号,104.7237420774489,31.49555542709224
10535210,龙翔春茶语,3.0,0.0,6.8,6.8,6.4,1 条点评,茶馆 , 开元场 芙蓉溪路36-12号,104.7237420774489,31.49555542709224
10535246,香飘飘茶楼,3.0,0.0,7.0,7.0,7.0,1 条点评,茶馆 , 芙蓉汉城 芙蓉汉城48-6号,104.7237420774489,31.49555542709224
10535277,三木森会所,3.0,0.0,7.5,7.5,7.5,3 条点评,咖啡厅 , 五一广场 平政一巷28-1号旁,104.7237420774489,31.49555542709224
10535285,东津休闲茶楼,3.0,0.0,6.3,6.3,6.3,2 条点评,茶馆 , 沈家坝 沈家坝商业城4-3号,104.7237420774489,31.49555542709224
10535289,紫藤阁休闲茶屋,3.0,0.0,6.8,6.8,6.8,1 条点评,茶馆 , 五一广场 平政一巷28-31号旁,104.7237420774489,31.49555542709224
10535314,冰咖啡,3.0,0.0,7.0,6.9,7.0,1 条点评,咖啡厅 , 人民公园 安昌路18号,104.7237420774489,31.49555542709224
10535315,丹桂香咖啡茶艺坊,3.0,0.0,7.6,7.6,7.6,2 条点评,咖啡厅 , 芙蓉汉城 芙蓉汉城36-17号,104.7237420774489,31.49555542709224
10535374,廊桥会所,3.0,0.0,7.3,7.3,7.3,2 条点评,咖啡厅 , 御营坝 滨河南路东段14号,104.7237420774489,31.49555542709224
10535385,五福茶楼,2.0,0.0,6.3,6.3,6.3,1 条点评,茶馆 , 五里堆 五里堆路49-1号,104.7237420774489,31.49555542709224
10535390,天添茶园,3.0,0.0,7.3,7.3,7.3,1 条点评,茶馆 , 南河 南河体育中心内,104.7237420774489,31.49555542709224
10535396,科伦巴上品会馆,3.0,0.0,6.8,7.0,7.0,3 条点评,咖啡厅 , 东方华尔街 长虹大道中段33-5号,104.7237420774489,31.49555542709224
10535423,闲逸茶楼,3.0,0.0,7.3,7.3,7.3,1 条点评,茶馆 , 南河 解放街50-1号,104.7237420774489,31.49555542709224
10535471,四川音乐学院绵阳艺术学院-音乐...,3.0,0.0,7.6,7.5,7.5,3 条点评,咖啡厅 , 南湖 机场东路83号,104.7237420774489,31.49555542709224
10535485,金壶园茶楼,3.0,0.0,7.3,7.1,7.3,1 条点评,茶馆 , 双碑 普明北路东段506号,104.7237420774489,31.49555542709224
10535487,驿尚轩,2.0,0.0,5.9,5.9,5.9,1 条点评,咖啡厅 , 园艺山 科园路27号,104.7237420774489,31.49555542709224
10535492,紫悦茶坊,3.0,0.0,7.5,7.5,7.5,1 条点评,茶馆 , 桃园路 剑门路东段54号,104.7237420774489,31.49555542709224
10535546,城市海岛,3.0,0.0,7.1,7.2,7.1,4 条点评,咖啡厅 , 涪城万达广场 滨河北路中段,104.7237420774489,31.49555542709224
10535564,朝天门,3.0,0.0,7.4,7.4,7.4,1 条点评,咖啡厅 , 安县中心城区 银河大道西段,104.7237420774489,31.49555542709224
10535582,龙艺茶庄,3.0,0.0,7.6,7.6,7.6,1 条点评,茶馆 , 花荄镇 金鸿路东段,104.7237420774489,31.49555542709224
10535627,贵州遵义豆花面羊肉米线,3.0,0.0,7.7,7.2,7.7,1 条点评,小吃面食 , 高水 长虹大道北段66-13号,104.7237420774489,31.49555542709224
10535650,友谊茶坊,3.0,0.0,7.4,7.4,7.4,1 条点评,茶馆 , 高新区 幸福巷宏鑫商务宾馆前面,104.7237420774489,31.49555542709224
10535655,正宗贵州花溪牛肉米线,3.0,0.0,7.5,7.2,7.2,6 条点评,小吃面食 , 新世界百货 富乐路5-12号,104.7237420774489,31.49555542709224
10535681,鸡汁水饺,3.0,0.0,6.5,6.3,6.5,3 条点评,小吃面食 , 布鲁斯国际 温州商贸广场附近,104.7237420774489,31.49555542709224
10535698,龙腾砂锅居,3.0,0.0,7.2,7.2,7.2,1 条点评,快餐简餐 , 北坝镇 梓州干道,104.7237420774489,31.49555542709224
10535715,食家庄香辣馆,3.0,0.0,7.1,7.0,7.1,7 条点评,川菜 , 西科大 青义路,104.7237420774489,31.49555542709224
10535725,V8一代佳人俱乐部,3.0,0.0,7.7,7.7,7.7,1 条点评,酒吧 , 铁牛广场 勇拓路4号,104.7237420774489,31.49555542709224
10535727,伯爵1号音乐酒吧,3.0,0.0,7.1,7.1,7.1,1 条点评,酒吧 , 安昌路 安昌路55-12号,104.7237420774489,31.49555542709224
10535738,欧罗吧音乐酒吧,3.0,0.0,6.8,6.9,6.8,1 条点评,酒吧 , 老茶树 长虹大道南段2-5号,104.7237420774489,31.49555542709224
10535740,青山绿水,3.0,0.0,6.8,6.8,6.8,1 条点评,咖啡厅 , 五里堆 五里堆路,104.7237420774489,31.49555542709224
10535744,任我行的酒铺分舵,3.0,0.0,7.2,7.6,7.6,1 条点评,酒吧 , 御营坝 御南街12-1号,104.7237420774489,31.49555542709224
10535745,云朵羌吧酒馆,3.0,0.0,7.3,7.3,7.3,3 条点评,酒吧 , 芙蓉汉城 芙蓉汉城13-12号,104.7237420774489,31.49555542709224
10535777,尘忆酒吧,3.0,0.0,6.7,6.7,6.7,4 条点评,酒吧 , 高水 跃进路北段世纪城2期,104.7237420774489,31.49555542709224
10535779,虎牙酒吧,3.0,0.0,7.7,7.7,7.7,2 条点评,酒吧 , 火炬广场 火炬北路13-22号,104.7237420774489,31.49555542709224
10535801,成都串串香,3.0,0.0,7.2,7.2,7.2,1 条点评,火锅 , 铁牛广场 顺河中街4号,104.7237420774489,31.49555542709224
10535810,健康渔港,3.0,0.0,6.9,7.0,7.0,2 条点评,川菜 , 高新区 绵兴西路,104.7237420774489,31.49555542709224
10535823,老杨记高水杨米粉,3.0,0.0,7.2,7.2,7.2,1 条点评,快餐简餐 , 马家巷 文庙街1-3号,104.7237420774489,31.49555542709224
10535831,罗米粉,3.0,0.0,6.9,6.7,6.7,2 条点评,快餐简餐 , 高新区 兴亚路,104.7237420774489,31.49555542709224
10535833,姐妹鲜米粉,3.0,0.0,7.2,7.4,6.9,2 条点评,快餐简餐 , 南湖 红桥西路,104.7237420774489,31.49555542709224
10535835,无名指,3.0,0.0,6.8,6.9,6.8,1 条点评,快餐简餐 , 六里村 远六区28号,104.7237420774489,31.49555542709224
10535869,德华开元米粉,3.0,0.0,7.3,7.3,7.3,2 条点评,快餐简餐 , 高水 跃进路北段103-13号,104.7237420774489,31.49555542709224
10535874,玛吉阿米酒吧,3.0,0.0,6.4,6.4,6.4,1 条点评,酒吧 , 安昌路 安昌路55-11号,104.7237420774489,31.49555542709224
10535880,永强胖米粉,3.0,0.0,7.6,7.6,7.6,1 条点评,快餐简餐 , 涪城万达广场 花园北街14号,104.7237420774489,31.49555542709224
10535892,云南过桥米线,3.0,0.0,7.4,7.4,7.4,5 条点评,快餐简餐 , 西科大 青义路,104.7237420774489,31.49555542709224
10535897,开元廖米粉,3.0,0.0,6.8,6.7,7.2,3 条点评,快餐简餐 , 涪城万达广场 金菊街1-9号,104.7237420774489,31.49555542709224
10535901,阿里郎台式快餐厅,3.0,0.0,7.1,7.0,7.0,6 条点评,快餐简餐 , 西科大 青义路,104.7237420774489,31.49555542709224
10535907,蒋氏旺福米粉,3.0,0.0,6.9,6.9,7.0,1 条点评,快餐简餐 , 安昌路 三汇路21-5号,104.7237420774489,31.49555542709224
10535910,毛记和意冒菜(绵阳花园店),3.0,0.0,7.1,6.9,7.0,1 条点评,快餐简餐 , 涪城万达广场 花园南街32号,104.7237420774489,31.49555542709224
10535912,开元龙米粉,3.0,0.0,7.1,7.1,7.1,1 条点评,快餐简餐 , 高水 跃进路北段85-6号,104.7237420774489,31.49555542709224
10535914,康富源老开元米粉,3.0,0.0,7.3,6.8,6.6,7 条点评,快餐简餐 , 涪城区 荷花西街1-15号,104.7237420774489,31.49555542709224
10535915,升元赖米粉,3.0,0.0,6.8,7.1,7.1,1 条点评,快餐简餐 , 御营坝 长虹大道南段52-5号,104.7237420774489,31.49555542709224
10535916,舒记肥肠粉,3.0,0.0,6.7,6.7,6.8,2 条点评,快餐简餐 , 东方红大桥 成绵路1巷3-3号,104.7237420774489,31.49555542709224
10535929,蒲开元米粉,3.0,0.0,6.9,6.6,6.6,2 条点评,快餐简餐 , 六里村 华兴上街3-2号,104.7237420774489,31.49555542709224
10535932,开元赵米粉,3.0,0.0,6.4,6.4,6.4,1 条点评,快餐简餐 , 人民公园 临园路东段56号,104.7237420774489,31.49555542709224
10535951,南粉北面,3.0,0.0,6.9,6.7,6.8,1 条点评,快餐简餐 , 涪城万达广场 花园东街33号,104.7237420774489,31.49555542709224
10535957,尚客善品中式快餐连锁,3.0,0.0,7.6,7.6,7.6,1 条点评,快餐简餐 , 人民公园 兴达街绵阳电影院对面,104.7237420774489,31.49555542709224
10535975,开元胖姐米粉,3.0,0.0,7.1,6.8,7.4,2 条点评,快餐简餐 , 花园小区 临园路西段5号,104.7237420774489,31.49555542709224
10535984,开元山西米粉,3.0,0.0,7.4,7.4,7.4,1 条点评,快餐简餐 , 步行街 西大街46-4号,104.7237420774489,31.49555542709224
10535993,升元米粉,3.0,0.0,6.4,6.4,6.4,2 条点评,快餐简餐 , 西科大 青义路,104.7237420774489,31.49555542709224
10536004,思琳饭店,3.0,0.0,6.7,6.8,6.7,5 条点评,快餐简餐 , 西科大 青羊西街12号,104.7237420774489,31.49555542709224
10536020,嘉怡肥肠馆,3.0,0.0,7.4,6.8,6.9,3 条点评,快餐简餐 , 六里村 六里村,104.7237420774489,31.49555542709224
10536045,永华米粉(九洲国际店),3.0,0.0,7.2,6.8,7.2,1 条点评,快餐简餐 , 九洲国际 跃进东街7-7号,104.7237420774489,31.49555542709224
10536061,奇味罐罐饭,3.0,0.0,7.2,7.0,7.2,1 条点评,快餐简餐 , 桃园路 剑南路西段81-7号,104.7237420774489,31.49555542709224
10536071,冒牌火锅菜,3.0,0.0,7.1,7.1,7.1,1 条点评,快餐简餐 , 凯德广场 临园路中段32-3号,104.7237420774489,31.49555542709224
10536091,东升休闲茶楼,3.0,0.0,7.6,7.6,7.6,1 条点评,茶馆 , 六里村 六里村建材市场阳光路46号,104.7237420774489,31.49555542709224
10536092,食尚客卤肉卷,3.0,0.0,6.8,6.8,7.2,1 条点评,面包甜点 , 步行街 公园路3号,104.7237420774489,31.49555542709224
10536150,年华鲜米粉,3.0,0.0,7.5,7.4,7.5,3 条点评,快餐简餐 , 园艺山 园艺东街9号,104.7237420774489,31.49555542709224
10536161,五牛大酒店宴会厅,2.0,0.0,6.0,6.0,6.0,1 条点评,粤菜 , 沿江路 沿江东街61号,104.7237420774489,31.49555542709224
10536169,盘中餐食府,3.0,0.0,7.4,7.4,7.4,1 条点评,川菜 , 安县中心城区 启明星大道南段,104.7237420774489,31.49555542709224
10536183,一口钟,4.0,0.0,8.5,8.2,8.4,51 条点评,快餐简餐 , 江油市中心城区 江油涪江路东段26号,104.7237420774489,31.49555542709224
10536196,好实在饭庄,3.0,0.0,6.8,7.1,6.8,1 条点评,新疆菜 , 五一广场 西山东路95号,104.7237420774489,31.49555542709224
10536231,剑门豆腐家常菜,3.0,0.0,7.2,7.2,7.7,1 条点评,东北菜 , 东方红大桥 成绵路1巷9-8号,104.7237420774489,31.49555542709224
